ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
100,POPPLEWELL CRES,K2J 5R3,Ward 3,,19,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Welland 4 2010 Std. End Unit,Carlisle 2010 Mid,Caledonia 2010 A",4,472535,6240,1108974,Construction,2011-12-28
102,POPPLEWELL CRES,K2J 5R3,Ward 3,,19,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Welland 4 2010 Std. End Unit,Carlisle 2010 Mid,Caledonia 2010 A",4,472535,6240,1108974,Construction,2011-12-28
104,POPPLEWELL CRES,K2J 5R3,Ward 3,,19,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Welland 4 2010 Std. End Unit,Carlisle 2010 Mid,Caledonia 2010 A",4,472535,6240,1108974,Construction,2011-12-28
106,POPPLEWELL CRES,K2J 5R3,Ward 3,,19,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Welland 4 2010 Std. End Unit,Carlisle 2010 Mid,Caledonia 2010 A",4,472535,6240,1108974,Construction,2011-12-28
616,WHITECLIFFS AVE,K1V 2N4,Ward 22,4M-1448,86 to 89,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4, 2 storey rowhouses with attached garages, Custom Champlain 2010, Custom Columbus 2010, Custom Magellan 2010, Cabot 2010",4,525075,8194,1108975,Construction,2011-12-28
618,WHITECLIFFS AVE,K1V 2N4,Ward 22,4M-1448,86 to 89,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4, 2 storey rowhouses with attached garages, Custom Champlain 2010, Custom Columbus 2010, Custom Magellan 2010, Cabot 2010",4,525075,8194,1108975,Construction,2011-12-28
620,WHITECLIFFS AVE,K1V 2N4,Ward 22,4M-1448,86 to 89,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4, 2 storey rowhouses with attached garages, Custom Champlain 2010, Custom Columbus 2010, Custom Magellan 2010, Cabot 2010",4,525075,8194,1108975,Construction,2011-12-28
622,WHITECLIFFS AVE,K1V 2N4,Ward 22,4M-1448,86 to 89,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4, 2 storey rowhouses with attached garages, Custom Champlain 2010, Custom Columbus 2010, Custom Magellan 2010, Cabot 2010",4,525075,8194,1108975,Construction,2011-12-28
124,WINTERHAVEN DR,,Ward 2,,113,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 storey detached dwelling with attached 2 car garage  Model: Marseille 2007 C,1,199140,2702,1108976,Construction,2011-12-28
633,WHITECLIFFS AVE,K1V 2N4,Ward 22,4R8983,PT LOTS 17-20,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 3, 2 storey rowhouses with attached garages",3,389815,5012,1108977,Construction,2011-12-28
