ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
2300,CITY PARK DR,K1J 1H6,Ward 11,4M-648,,CONTRACTOR UNKNOWN,Retail,Gloucester,Tenant fit up on the 1st floor of a 1 storey commercial building ( Fuji Sushi),0,82000,1615,1106823,Construction,2011-10-03
389,VENDEVALE AVE,K2S 0M7,Ward 6,,18,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Ferncliffe 2011 A,1,150700,2010,1106824,Construction,2011-10-03
3401,GREENBANK RD,K2J 4J1,Ward 3,,12,CONTRACTOR UNKNOWN,Demolition,Nepean,Demolish a 1 storey detached dwelling,-1,15000,-800,1106825,Demolition,2011-10-03
6170,MITCH OWENS RD,,Ward 20,4R-22021,1,***CONTRACTOR***,Single,Osgoode,Construct a 1 storey detached dwelling with attached carport and garage,1,350000,2500,1106826,Construction,2011-10-03
240,JOHN ASELFORD DRWY,K2W 1A8,,4M-544,9,SUMMERSTONE LTD.,Single,Kanata,Construct a screened in porch at the rear of a 2 storey detached dwelling,0,18000,162,1106827,Construction,2011-10-03
660,MELBOURNE AVE,K2A 1X2,Ward 15,257,98,C B M CONSTRUCTION LTD.,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling and detached garage,-1,6500,-1100,1106828,Demolition,2011-10-03
457,COLE AVE,K2A 2B1,Ward 15,235,11,SUMMERSTONE LTD.,Single,Old Ottawa,Construct a covered porch at the side of a 2 storey detached dwelling,0,12000,48,1106829,Construction,2011-10-03
1296,VANCOUVER AVE,K1V 6V1,Ward 16,677 E,24,CLUB PISCINE,Single,Old Ottawa,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1106837,Pool Enclosure,2011-10-03
6700,RIDEAU VALLEY DR S,,Ward 21,7,1 & 2,SKARLAN ENTERPRISES LTD.,Single,Rideau,Construct a 1 storey addition at the rear of a 2 storey detached dwelling,0,100000,500,1106838,Construction,2011-10-03
254,BAILLIE AVE,K0A 3M0,Ward 5,413,5,***CONTRACTOR***,Single,West Carleton,Construct an attached garage and 3 season sunroom addition at the side of a 1 storey detached dwelling,0,65000,1575,1106839,Construction,2011-10-03
1365,BANK ST,K1H 8K8,Ward 18,,,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,Tenant fit-up on the ground floor of a 17 storey mixed-use building. (Bank Street Daycare),0,125000,1700,1106840,Construction,2011-10-03
