ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
491,BLAIR ST,K1G 0J3,Ward 18,569,227,CLAREMONT CONSTRUCTION & RENOVATION,Single,Old Ottawa,Construct a 1 storey addition at the front of a 1 storey detached dwelling,0,30000,205,1105902,Construction,2011-09-01
33,LORNE AVE,K1R 7G6,Ward 14,7,PT LOT 14,QUALITY BUILDING SERVICES,Rowhouse,Old Ottawa,PLUMBING ONLY -  Install a plumbing fixture on the 1st floor of a 2 storey rowhouse,0,0,0,1105923,Construction,2011-09-01
5551,SOUTH SUNSET DR,K4M 1J4,Ward 21,762,33,CONTRACTOR UNKNOWN,Single,Rideau,Install a fireplace insert on the 1st floor of an 2 storey detached dwelling,0,4062,11,1105924,Construction,2011-09-01
1865,ELMRIDGE DR,K1J 8G7,Ward 11,859,755,OTTAWA HOME IMPROVEMENTS CORP,Single,Gloucester,Alterations to a porch at the front of a 2 storey detached dwelling,0,1973,60,1105925,Construction,2011-09-01
717,HEMLOCK RD,K1K 0K7,Ward 13,M-89,424 and 443,SHANK POOLS,Single,Old Ottawa,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1105926,Pool Enclosure,2011-09-01
6771,FOURTH LINE RD,K0A 2T0,Ward 21,,S PT LOT 23,EMPIRE CONSTRUCTION,Farm,Rideau,Construct a farm building,0,48000,6000,1105927,Construction,2011-09-01
215,SLATER ST,K1P 0A6,Ward 14,3922,36-37,VIPOND FIRE PROTECTION INC.,Office,Old Ottawa,Interior alterations on the second floor of a nine storey commercial building (Telus),0,2000,1076,1105928,Construction,2011-09-01
44,VAAN DR,K2G 0C6,Ward 9,340423,20,***CONTRACTOR***,Demolition,Nepean,Demolish a 1 storey detached dwelling,-1,1000,-852,1105929,Demolition,2011-09-01
1284,BEN ROYAL AVE,K4P 1A3,Ward 20,4M-836,37,***CONTRACTOR***,Single,Osgoode,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1105930,Pool Enclosure,2011-09-01
624,CALLA LILY TER,K4A 0V3,Ward 19,,21,MATTAMY DEVELOPMENT CORPORATION,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: Berrywood 2007 B,1,128790,1697,1105931,Construction,2011-09-01
