ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
396,GERRY LALONDE DR,K4A 0X2,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Semi - Detached,Cumberland,Construct a 2 storey semi-detached dwelling,2,445920,3000,1302376,Construction,2013-05-02
635,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
637,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
639,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
641,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
643,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
645,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
647,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
649,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
651,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
653,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
655,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
657,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE BROTHERS CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande(x2), Rio Grande Rev(x2), Pacific Rev",12,1879441,16859,1302377,Construction,2013-05-02
398,GERRY LALONDE DR,K4A 0X2,Ward 19,,,,Semi - Detached,Cumberland,Construct a 2 storey semi-detached,2,509240,3426,1302378,Construction,2013-05-02
400,GERRY LALONDE DR,K4A 0X2,Ward 19,,,,Semi - Detached,Cumberland,Construct a 2 storey semi-detached,2,509240,3426,1302378,Construction,2013-05-02
675,ROCKROSE WAY,K1T 0K6,Ward 22,,42,TAMARACK DEVELOPMENTS CORPORATION,Single,Gloucester,Construct a 2 storey detached dwelling,1,325224,2188,1302379,Construction,2013-05-02
390,MARCH RD,K2K 0G7,Ward 4,M280,,KRP CONSTRUCTION INC.,Office,Kanata,Tenant fit up in a 2 storey office building (Wesley Clover),0,254956,10198,1302380,Construction,2013-05-02
1863,MONTMERE AVE,K4A 0L7,Ward 19,,NS350,RICHCRAFT HOMES LIMITED,Single,Cumberland,Construct a 2 storey detached dwelling,1,405044,2725,1302381,Construction,2013-05-02
675,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
677,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
679,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
681,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
683,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
