ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
62,CHIPPEWA AVE,K2G 1Y2,Ward 8,375,2066-2068,CONTRACTOR UNKNOWN,Single,Nepean,Construct an accessory apartment in the basement of a 2 storey detached dwelling,1,15000,1010,1301047,Construction,2013-03-01
1427,PALEN AVE,K1H 7E6,Ward 18,601,19-20,CARDINAL RENOVATIONS,Single,Old Ottawa,Interior alterations to a 1 storey detached dwelling,0,30728,850,1301048,Construction,2013-03-01
4500,SHORELINE DR,K1V 1S8,Ward 22,4M-1099,36,CONTRACTOR UNKNOWN,Single,Gloucester,Interior alterations to finish the basement in a 2 storey detached dwelling,0,20512,552,1301049,Construction,2013-03-01
108,ROWE DR,K2L 4A2,Ward 23,4M-626,67,***CONTRACTOR***,Single,Kanata,Interior alterations on the main floor of a 2 storey detached dwelling,0,500,32,1301050,Construction,2013-03-01
3301  -10,MCCARTHY RD,K1V 9X5,Ward 16,285,,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Install a fireplace insert on the main floor of a 2 storey rowhouse (Unit 10),0,3900,0,1301051,Construction,2013-03-01
5026,CARLSBAD LANE,K0A 3H0,Ward 19,,20,***CONTRACTOR***,Single,Cumberland,Interior alteration to repair damages to the suspended concrete slab of attached residential garage,0,6000,269,1301052,Construction,2013-03-01
729,LUDGATE CRT,K1J 8K8,Ward 11,837,1083,ASTRO DESIGN CENTRE,Single,Gloucester,Interior alterations on the 1st floor of a 2 storey detached dwelling,0,5000,1,1301053,Construction,2013-03-01
322,RIDEAU ST,K1N 5Y5,Ward 12,6,15 to 17,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,Tenant fit up for a 2nd level medical clinic (Shoppers Drug Mart/University of Ottawa Health Services Medical Clinic),0,610000,6190,1301054,Construction,2013-03-01
7606,VILLAGE CENTRE PL,,Ward 20,4M-1398,,OTTAWA COMMERCIAL CONTRACTORS LTD.,Retail,Osgoode,Interior alterations to unit 1 in a 2 storey retail building (Metcalf Dental),0,160000,2691,1301055,Construction,2013-03-01
1801,FEATHERSTON DR,K1H 6P4,Ward 18,,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Install 442 solar panels and 77 anchors on the roof of a 2 storey public school,0,109336,0,1301056,Construction,2013-03-01
