ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
75,SENECA ST,K1S 4X6,Ward 17,118051,265 & 266,CROSSFORD CONSTRUCTION,Single,Old Ottawa,"Construct a 1 storey rear addition, interior alterations on all 3 floors and new roof and dormers",0,140477,1074,1300988,Construction,2013-02-28
734,BRIAN GOOD AV,,Ward 22,,RS59,RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 31-08 Canmore 2011 B,1,327305,2202,1300989,Construction,2013-02-28
732,BRIAN GOOD AV,,Ward 22,,RS60,RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 35-18 Baldwin 2011 A,1,379329,2552,1300990,Construction,2013-02-28
8300,FLEWELLYN RD,K0A 1B0,Ward 21,,PT LOT 6,***CONTRACTOR***,Single,Goulbourn,Construct a 1 storey detached dwelling - due to fire,1,162959,1502,1300991,Construction,2013-02-28
622,CLEARBROOK DR,K2J 5S2,Ward 22,4M-1437,39,MINTO COMMUNITIES INC ( KEVI DOYLE ),Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Easton 2009 B,1,116300,1590,1300992,Construction,2013-02-28
4565,BANK ST,K1T 3W6,Ward 22,,16,BRODER ELECTRIC LTD.,Office,Gloucester,Construct a foundation pad and install a new generator at the rear of a 2 storey office building (Hydro Ottawa),0,36000,0,1300993,Construction,2013-02-28
1325,RICHMOND RD,K2B 6R7,Ward 7,408456,3 - pt lot 4,PARADIGM PROPERTIES INC. - OCP MANAGEMENT LTD.,Retail,Old Ottawa,Interior alterations to a 1 storey retail building,0,93000,2034,1300994,Construction,2013-02-28
243,BALIKUN HTS,,Ward 6,4M-,118,CARDEL HOMES LIMITED PARTNERSHIP OTTAWA DIVISION,Single,Goulbourn,Construct a 2 storey detached dwelling with attached garage - Model Berkshire II,1,388917,2684,1300996,Construction,2013-02-28
308,EQUINE WAY,,Ward 6,4M-,88,CARDEL HOMES LIMITED PARTNERSHIP OTTAWA DIVISION,Single,Goulbourn,Construct a 2 storey detached dwelling with attached garage (Model: Devonshire II),1,341277,2308,1300997,Construction,2013-02-28
628,CLEARBROOK DR,K2J 5S1,Ward 22,4M-1437,42,MINTO COMMUNITIES INC.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Easton 2009 A,1,116300,1590,1300998,Construction,2013-02-28
822,KILBIRNIE DR,K2J 5T9,Ward 3,4M-1423,50186,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Evergreen 2010 A,1,528266,3554,1300999,Construction,2013-02-28
407,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Pine 2012 B,Brookside 2012 B,Creekside 2012 B End,Wetland 2012 B",4,489630,6709,1301000,Construction,2013-02-28
409,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Pine 2012 B,Brookside 2012 B,Creekside 2012 B End,Wetland 2012 B",4,489630,6709,1301000,Construction,2013-02-28
411,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Pine 2012 B,Brookside 2012 B,Creekside 2012 B End,Wetland 2012 B",4,489630,6709,1301000,Construction,2013-02-28
413,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Pine 2012 B,Brookside 2012 B,Creekside 2012 B End,Wetland 2012 B",4,489630,6709,1301000,Construction,2013-02-28
410,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Tulip 2012 B end unit,Tulip 2012 B end unit,Spruce 2012 B,Maple 2012 B,Creekside 2012 B",5,646530,8879,1301001,Construction,2013-02-28
412,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Tulip 2012 B end unit,Tulip 2012 B end unit,Spruce 2012 B,Maple 2012 B,Creekside 2012 B",5,646530,8879,1301001,Construction,2013-02-28
414,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Tulip 2012 B end unit,Tulip 2012 B end unit,Spruce 2012 B,Maple 2012 B,Creekside 2012 B",5,646530,8879,1301001,Construction,2013-02-28
416,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Tulip 2012 B end unit,Tulip 2012 B end unit,Spruce 2012 B,Maple 2012 B,Creekside 2012 B",5,646530,8879,1301001,Construction,2013-02-28
418,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Tulip 2012 B end unit,Tulip 2012 B end unit,Spruce 2012 B,Maple 2012 B,Creekside 2012 B",5,646530,8879,1301001,Construction,2013-02-28
795,WILLOW AVE,K1E 1C8,Ward 1,,37,MCI POOLS,Single,Cumberland,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1301002,Pool Enclosure,2013-02-28
11,MINUETTE PL,K2G 6Z2,Ward 22,4M-1190,59,MCI POOLS,,Nepean,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1301003,Pool Enclosure,2013-02-28
492,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Maple 2012 A,Maple 2012 B,Creekside 2012 C End,Tulip 2012 A end unit,Spruce 2012 A",5,620770,8511,1301004,Construction,2013-02-28
494,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Maple 2012 A,Maple 2012 B,Creekside 2012 C End,Tulip 2012 A end unit,Spruce 2012 A",5,620770,8511,1301004,Construction,2013-02-28
496,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Maple 2012 A,Maple 2012 B,Creekside 2012 C End,Tulip 2012 A end unit,Spruce 2012 A",5,620770,8511,1301004,Construction,2013-02-28
