ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
1616,CYRVILLE RD,K1B 3L8,Ward 11,4M-,23-24,FRESHCO RETAIL MAINTANENCE,Retail,Gloucester,Interior alterations to install a lift in a 1 storey retail building (Home Depot),0,70000,50,1307268,Construction,2013-10-09
20,TRINITY DR,K2H 6H2,Ward 8,425894,784,BEST CAN ALUMINUM MFG. LTD.,Single,Nepean,Construct a 1 storey addition to a 1 storey detached dwelling (rear yard),0,41768,281,1307269,Construction,2013-10-09
3500,FALLOWFIELD RD,K2J 4A7,Ward 3,,pt 20,CONTRACTOR UNKNOWN,Retail,Nepean,"Interior alterations to a 1 storey retail store (Good Shepherds Barrhaven, Unit 5)",0,50000,2084,1307270,Construction,2013-10-09
269,LAURIER AVE W,K1A 0P8,Ward 14,3922,38,CONTRACTOR UNKNOWN,Office,Old Ottawa,HVAC alterations to the 17th floor of an office building,0,47000,80,1307271,Construction,2013-10-09
524,OSMOND DALEY DR,K0A 1L0,Ward 5,4M-1411,4,***CONTRACTOR***,Single,West Carleton,Finish the basement in a 1 storey detached dwelling,0,30917,832,1307272,Construction,2013-10-09
8,FREDERICK PL,K1S 3G2,Ward 17,217882,Pt lot 32,PROSPECT BUILDERS LTD.,Single,Old Ottawa,Exterior / interior alteraitons on the 1st floor of a 2 storey detached dwelling,0,12000,32,1307273,Construction,2013-10-09
187,LOREKA CRT,K2S 0N3,Ward 6,4M-1390,17,KLINGER HOMES,Single,Goulbourn,Construct a 2 storey detached dwelling,1,274984,2600,1307274,Construction,2013-10-09
145,GENERAL AVE,K1Z 7W9,Ward 16,268159,169,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2 storey addtion (rear yard),0,53510,360,1307275,Construction,2013-10-09
320,PERCHERON WAY,K2V 0A9,Ward 6,,1045,MONARCH CORPORATION,Single,Goulbourn,Construct a 1 Storey Single with attached garage  Model: 46-1 Shire 2012 A loft,1,390328,2626,1307276,Construction,2013-10-10
422,CAVESSON ST,K2V 0A8,Ward 6,,1012,MONARCH CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Neopolitan 2012 B,1,406530,2735,1307277,Construction,2013-10-10
112,PALFREY WAY,K2V 0A5,Ward 6,,1151,MONARCH CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: 46-4 2011 A,1,432245,2908,1307278,Construction,2013-10-10
6168,RIDEAU VALLEY DR N,K4M 1B3,Ward 21,,PT LOT 13,LAGOIS DRAFTING AND CONSTRUCTION,Single,Rideau,Demolish an attached sunroom and construct a 1 storey attached sunroom (rear yard) and interior alterations,0,30254,591,1307279,Construction,2013-10-10
326,PERCHERON WAY,K2V 0A9,Ward 6,,1042,MONARCH CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: 46-4 2011 A,1,432245,2908,1307280,Construction,2013-10-10
318,RICHMOND RD,K1Z 6X6,Ward 15,277,95,HUNTINGTON CONSTRUCTION AND DEVELOPMENT INC.,Office,Old Ottawa,Tenant fit up on the 2nd floor of a 2 storey office building - Unit 200,0,90000,3175,1307281,Construction,2013-10-10
3254,BARLOW CRES,K0A 1T0,Ward 5,838,18,CONTRACTOR UNKNOWN,Single,West Carleton,Construct a deck (rear yard),0,8000,215,1307282,Construction,2013-10-10
322,PERCHERON WAY,K2V 0A9,Ward 6,,1044,MONARCH CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: 46-4 2011 B,1,430758,2898,1307283,Construction,2013-10-10
100,MAPLE GROVE RD,K2V 1B8,Ward 23,,,CONTRACTOR UNKNOWN,Industrial,Kanata,Install 40 solar panels on the roof of a 1 storey garage,0,6000,0,1307284,Construction,2013-10-10
29,SAN MATEO DR,K2J 5H4,Ward 3,4M 1186,28,***CONTRACTOR***,Single,Nepean,Finish the basement in a 2 storey detached dwelling,0,27000,727,1307285,Construction,2013-10-10
383,VIA VERONA AVE,K2J 5X8,Ward 3,4M-1463,,CAMPANALE HOMES,Rowhouse,Nepean,Construct a 2 storey block of 4 rowhouse dwellings,4,748997,7074,1307286,Construction,2013-10-10
385,VIA VERONA AVE,K2J 5X8,Ward 3,4M-1463,,CAMPANALE HOMES,Rowhouse,Nepean,Construct a 2 storey block of 4 rowhouse dwellings,4,748997,7074,1307286,Construction,2013-10-10
387,VIA VERONA AVE,K2J 5X8,Ward 3,4M-1463,,CAMPANALE HOMES,Rowhouse,Nepean,Construct a 2 storey block of 4 rowhouse dwellings,4,748997,7074,1307286,Construction,2013-10-10
