ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
76,BLUEHEART BAY,K2J 5Z5,Ward 3,,pt 18,RICHCRAFT HOMES LIMITED,Single,Nepean,Finish the basement in a 2 storey detached dwelling,0,12523,337,1307897,Construction,2013-11-01
157,STONEMEADOW DR,K2M 0G9,Ward 23,,,HN HOMES INC.,Single,Kanata,Construct a 2 storey detached dwelling,1,417530,2809,1307898,Construction,2013-11-01
100,QUEEN ST,K1P 5T8,Ward 14,3922,14-21,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,"Tenant fit up on the 9th, 15th and 16th floors of the 17 storey World Exchange Plaza - Deloitte",0,2400000,41387,1307900,Construction,2013-11-01
24,MORRIS ST,K1S 4A7,Ward 17,4M-44,PT LOT 26,CONTRACTOR UNKNOWN,Duplex,Old Ottawa,Interior alterations on the 1st floor of a 2 storey duplex (remove wall and replace with beam),0,1050,65,1307902,Construction,2013-11-01
2500,PALLADIUM DR,K2V 1E2,Ward 6,,,BBS CONSTRUCTION,Retail,West Carleton,FOUNDATION PERMIT- Construct the foundation for a 1 storey addition (Kanata Honda Auto Dealership),0,0,0,1307903,Construction,2013-11-01
29,CRAIG ST,K1S 4B6,Ward 17,44,10,CONTRACTOR UNKNOWN,Single,Old Ottawa,"Construct two 1 storey additions to a 2 storey detached (front, rear) and interior alterations on the 1st floor",0,79857,632,1307904,Construction,2013-11-01
99,CARTIER ST,K2P 1K2,Ward 14,4M-,,DOUGLAS FIRE SAFETY SYSTEM,Apartment,Old Ottawa,Interior alterations to all floors of a 6 storey apartment building (fire alarm replacement),0,5000,0,1307905,Construction,2013-11-01
1711,COUNTRY WALK DR,K1C 8C9,Ward 2,4M-618,6,***CONTRACTOR***,Single,Gloucester,Interior alterations to the ceiling in the dining room of a 2 storey detached dwelling,0,1000,300,1307906,Construction,2013-11-01
6543,WATERDOWN ST,,Ward 20,4M-XXXX,68,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Osgoode,Construct a 2 storey detached dwelling,1,287489,1934,1307907,Construction,2013-11-01
122,BAYSWATER AVE,K1Y 2G1,Ward 15,92,22,SANDY HILL CONSTRUCTION,Single,Old Ottawa,Construct deck at  the rear on the 2nd and 3d floor of a detached dwelling,0,71120,139,1307908,Construction,2013-11-01
324,WEST HUNT CLUB RD,K2E 0B7,Ward 9,4M-,289,FED-CON,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Booster Juice),0,178000,972,1307911,Construction,2013-11-01
323,BAMBURGH WAY,K2J 5R1,Ward 3,4M-1449,71,MCI POOLS (OLD HWY 17),Single,Nepean,Install an enclosure for an inground pool (rear yard),0,0,0,1307912,Pool Enclosure,2013-11-01
6549,WATERDOWN ST,,Ward 20,4M-XXXX,71,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Osgoode,Construct a 2 storey detached dwelling,1,380369,2559,1307913,Construction,2013-11-01
6527,WATERDOWN ST,,Ward 20,4M-XXXX,60,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Osgoode,Construct a 2 Storey Single with attached garage  Model: Chesapeake 2007 B 4 bdrm,1,444730,2992,1307914,Construction,2013-11-01
1607,STONECROP AVE,,Ward 20,4M-XXXX,84,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Osgoode,Construct a 2 storey detached dwelling,1,287489,1934,1307915,Construction,2013-11-01
6525,WATERDOWN ST,,Ward 20,4M-XXXX,59,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Osgoode,Construct a 2 Storey Single with attached garage  Model: S1 2007 A,1,287489,1934,1307916,Construction,2013-11-01
13,WINCHESTER DR,K2L 2C8,Ward 23,M-222,1447,MULTI-DRAIN INC,Single,Kanata,PLUMBING ONLY - Install a Protective Device on the building drain,0,0,0,1307918,Construction,2013-11-01
5808,LONGHEARTH WAY,K4M 1M1,Ward 20,4M-1254,24,CONTRACTOR UNKNOWN,Single,Osgoode,Construct a detached garage (rear yard),0,75000,969,1307919,Construction,2013-11-01
216,DAVY ST,K2M 0H6,Ward 23,4M-,72,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling,1,432698,3233,1307920,Construction,2013-11-01
223,DAVY ST,K2M 0H6,Ward 23,4M-1495,111,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling,1,321954,2166,1307921,Construction,2013-11-01
318,SUGAR PINE CRES,K2M 0H6,Ward 23,4M-1495,83,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling,1,345031,2787,1307922,Construction,2013-11-01
322,SUGAR PINE CRES,K2M 0H6,Ward 23,4M-1495,81,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling,1,418533,3235,1307923,Construction,2013-11-01
320,SUGAR PINE CRES,K2M 0H6,Ward 23,4M-1495,82,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling,1,442464,3549,1307924,Construction,2013-11-01
208,DAVY ST,K2M 0H5,Ward 23,4M-,68,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling,1,429867,2892,1307925,Construction,2013-11-01
137,STONEMEADOW DR,K2M 0G9,Ward 23,4M-1495,141,URBANDALE CORPORATION,Single,Kanata,Construct a 2 storey detached dwelling,1,457923,3647,1307926,Construction,2013-11-01
202,DAVY ST,K2M 0H5,Ward 23,4M-,65,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling - Oakview II,1,420577,3290,1307927,Construction,2013-11-01
713,MONTREAL RD,K1K 0T2,Ward 13,,24 & 25,ZW GROUP,Institutional,Old Ottawa,Interior altertaions to the main floor of a 2 storey hospital (Montfort Hospital),0,140000,151,1307928,Construction,2013-11-01
465,MUTUAL ST,K1K 1C7,Ward 13,300,94,***CONTRACTOR***,Single,Old Ottawa,Construct a 1 storey addition on a 2 storey detached dwelling (rear yard),0,19769,133,1307929,Construction,2013-11-01
177,GRAND MANAN CIR,,Ward 4,4M-1489,89,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Kanata,Construct a 2 storey detached dwelling,1,322995,2173,1307930,Construction,2013-11-01
280  -44,MCCLELLAN RD,K2H 8P8,Ward 9,51,,CONTRACTOR UNKNOWN,Single,Nepean,Exterior alterations (install a window) on the second floor of a 2 storey condo unit.,0,1587,20,1307931,Construction,2013-11-01
2125,KNIGHTSBRIDGE RD,K2A 0R1,Ward 7,314932,40,KEN RITCHIE CONTRACTING,Single,Old Ottawa,Interior alterations in the basement of a 2 storey detached dwelling,0,6000,51,1307932,Construction,2013-11-01
277,TRAILGATE ST,K1V 0Z7,Ward 22,4M1349,61,URBANDALE CONSTRUCTION,Single,Gloucester,Construct a 2 storey detached dwelling,1,484343,3350,1307933,Construction,2013-11-01
1400,CARLING AVE,K1Z 7L8,Ward 16,221,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Interior alterations to the basement of a 5 storey commercial building. (Embassy West Hotel, Architectual, mechanical, structural)",0,18000,400,1307935,Construction,2013-11-01
5,MONTEBELLO LANE,K2L 1X5,Ward 23,896,1123,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1307936,Construction,2013-11-01
124,CALAVERAS AVE,K2J 4Z7,Ward 3,4M-1079,,TECHNO METAL POST OTTAWA WEST,Semi - Detached,Nepean,Construct a deck (rear yard),0,2160,97,1307937,Construction,2013-11-01
708,ECHO DR,K1S 1P3,Ward 17,105374,10,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a detached garage (at rear),0,30000,418,1307938,Construction,2013-11-01
31,CASTLEFRANK RD,K2L 2E1,Ward 23,M222,1442,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY:  Install a Protective Plumbing Device on the building drain,0,0,0,1307939,Construction,2013-11-01
57,MCKITRICK DR,K2L 2H5,Ward 23,M220,1310,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1307940,Construction,2013-11-01
1686,SAXONY CRES,K1B 5K6,Ward 11,4M-418,PT LOT 21,***CONTRACTOR***,Single,Gloucester,Interior alterations to a 2 storey detached dwelling,0,5000,300,1307941,Construction,2013-11-01
39,MCKITRICK DR,K2L 2J7,Ward 23,M220,1378,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1307942,Construction,2013-11-01
1786,CALUMET LANE,K1C 1V9,Ward 1,4M-150,90,"SALLY, SETH",Single,Gloucester,Interior alterations on the 1st storey of a 2 storey detached dwelling,0,6000,0,1307943,Construction,2013-11-04
206,DAVY ST,K2M 0H5,Ward 23,4M-1495,67,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 1 storey detached dwelling,1,278589,2436,1307944,Construction,2013-11-04
2638,FLANNERY DR,K1V 8M2,Ward 16,749,325,INSIDE/OUT CARPENTRY INC,Single,Old Ottawa,Construct a deck (rear yard),0,4000,300,1307945,Construction,2013-11-04
114,ELFIN GROVE,,Ward 6,4M-,61,EQ HOMES,Single,Goulbourn,Construct a 1 storey detached dwelling,1,201407,1355,1307946,Construction,2013-11-04
733,MALOJA WAY,K2S 0N7,Ward 6,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,West Carleton,"Construct a 2 Storey Rowhouse with attached garages  Models: Berrygrove 2011 A,Fernwater 2011 A,Berrygrove 2011 A,Eastland 2011 A Int Unit,Fernwater 2011 A,Maplefield 2011 End A",6,921936,8270,1307947,Construction,2013-11-04
735,MALOJA WAY,K2S 0N7,Ward 6,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,West Carleton,"Construct a 2 Storey Rowhouse with attached garages  Models: Berrygrove 2011 A,Fernwater 2011 A,Berrygrove 2011 A,Eastland 2011 A Int Unit,Fernwater 2011 A,Maplefield 2011 End A",6,921936,8270,1307947,Construction,2013-11-04
737,MALOJA WAY,K2S 0N7,Ward 6,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,West Carleton,"Construct a 2 Storey Rowhouse with attached garages  Models: Berrygrove 2011 A,Fernwater 2011 A,Berrygrove 2011 A,Eastland 2011 A Int Unit,Fernwater 2011 A,Maplefield 2011 End A",6,921936,8270,1307947,Construction,2013-11-04
739,MALOJA WAY,K2S 0N7,Ward 6,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,West Carleton,"Construct a 2 Storey Rowhouse with attached garages  Models: Berrygrove 2011 A,Fernwater 2011 A,Berrygrove 2011 A,Eastland 2011 A Int Unit,Fernwater 2011 A,Maplefield 2011 End A",6,921936,8270,1307947,Construction,2013-11-04
741,MALOJA WAY,K2S 0N7,Ward 6,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,West Carleton,"Construct a 2 Storey Rowhouse with attached garages  Models: Berrygrove 2011 A,Fernwater 2011 A,Berrygrove 2011 A,Eastland 2011 A Int Unit,Fernwater 2011 A,Maplefield 2011 End A",6,921936,8270,1307947,Construction,2013-11-04
743,MALOJA WAY,K2S 0N7,Ward 6,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,West Carleton,"Construct a 2 Storey Rowhouse with attached garages  Models: Berrygrove 2011 A,Fernwater 2011 A,Berrygrove 2011 A,Eastland 2011 A Int Unit,Fernwater 2011 A,Maplefield 2011 End A",6,921936,8270,1307947,Construction,2013-11-04
