ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
605,SUNBURST ST,K1T 0L1,Ward 22,4M-1462,,CLARIDGE HOMES (LEITRIM) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Stirling IV 2011,Queensby IV 2011 Mid,Wembley IV 2011 MID,Cambridge IV 2011 MID,Winbledon IV 2011 End,Regent IV 2011 3bed",6,1034085,9276,1306425,Construction,2013-09-10
607,SUNBURST ST,K1T 0L1,Ward 22,4M-1462,,CLARIDGE HOMES (LEITRIM) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Stirling IV 2011,Queensby IV 2011 Mid,Wembley IV 2011 MID,Cambridge IV 2011 MID,Winbledon IV 2011 End,Regent IV 2011 3bed",6,1034085,9276,1306425,Construction,2013-09-10
609,SUNBURST ST,K1T 0L1,Ward 22,4M-1462,,CLARIDGE HOMES (LEITRIM) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Stirling IV 2011,Queensby IV 2011 Mid,Wembley IV 2011 MID,Cambridge IV 2011 MID,Winbledon IV 2011 End,Regent IV 2011 3bed",6,1034085,9276,1306425,Construction,2013-09-10
611,SUNBURST ST,K1T 0L1,Ward 22,4M-1462,,CLARIDGE HOMES (LEITRIM) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Stirling IV 2011,Queensby IV 2011 Mid,Wembley IV 2011 MID,Cambridge IV 2011 MID,Winbledon IV 2011 End,Regent IV 2011 3bed",6,1034085,9276,1306425,Construction,2013-09-10
715,ANNISETTES RIDGE,,Ward 19,,60,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: Hathaway 3 2007 A,1,293415,1974,1306426,Construction,2013-09-10
619,CAPUCHON WAY,K4A 0W2,Ward 19,,35,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 3 Storey Single with attached garage,1,242431,1631,1306427,Construction,2013-09-10
500  -1606,LAURIER AVE W,K1R 5E1,Ward 14,95,,***CONTRACTOR***,Apartment,Old Ottawa,Interior alterations to a bathroom on the 16th floor of a 27 storey apartment building (Unit 1606),0,800,13,1306428,Construction,2013-09-10
50,RIDEAU ST,K1N 9J7,Ward 12,4M-,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Tenant fit-up on the 3rd floor in a 4 storey retail building (Nespresso, Unit 315)",0,150000,2045,1306429,Construction,2013-09-10
110,WHERNSIDE TERR,K2W 0C7,Ward 4,1345,45,***CONTRACTOR***,Single,Kanata,Finish the basement in a 2 storey detached dwelling,0,5000,130,1306430,Construction,2013-09-10
2,DELONG DR,K1J 7E6,Ward 11,652,52,ASP INVESTMENTS,Single,Gloucester,Demolish existing solarium and construct a 1 storey sunroom over existing ground floor (front yard),0,25000,310,1306431,Construction,2013-09-10
