ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
45,RICH LITTLE DR,K1V 9Y2,Ward 16,M213,151,OAKWOOD BUILDERS,Single,Old Ottawa,"Interior alterations to the ground floor of a 2 storey detached dwelling (kitchen). Also, update existing plumbing r/in for second floor bathroom.",0,4000,181,1308573,Construction,2013-12-02
273,MADHU CRES,K2C 4J2,Ward 16,4M-1258,111,OAKWOOD BUILDERS,Single,Old Ottawa,Finish the basement in a 2 storey detached dwelling,0,34559,930,1308574,Construction,2013-12-02
204,PICKWICK DR,K2J 3C1,Ward 3,4M558,21,OAKWOOD BUILDERS,Single,Nepean,Interior alterations on the 2nd floor of a 2 storey detached dwelling (bathroom),0,6000,98,1308575,Construction,2013-12-02
48,SPARROW WAY,K1V 9H5,Ward 16,M158,435,OAKWOOD BUILDERS,Single,Old Ottawa,Interior alterations on the ground floor of a 2 storey detached dwelling (kitchen/dining/living),0,10000,454,1308576,Construction,2013-12-02
337,MACKAY ST,K1M 2B7,Ward 13,4M-56,PT LOT 11,SIGHTLINE CONSTRUCTION & RENOVATIONS INC.,Single,Old Ottawa,Construct a 1 storey addition to a 2 storey detached dwelling (side yard),0,9810,66,1308577,Construction,2013-12-02
1950,MERIVALE RD,K2G 5T5,Ward 9,402435,pt lot 26,CONTRACTOR UNKNOWN,Retail,Nepean,"Tenant fit up on the 1st floor in a 2 storey retail building - (unit 7, U B Nails and Spa)",0,20000,1100,1308578,Construction,2013-12-02
141,LAURIER AVE W,K1P 5J3,Ward 14,4M-3922,56 AND 57,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Interior alterations to an 11 storey office building (Canadian Psychiatric Association & Canadian Psychological Association, 7th floor, install an electromagnetic lock)",0,1000,0,1308579,Construction,2013-12-02
16,RUTHERFORD CRES,K2K 1M9,Ward 4,847,771,CONTRACTOR UNKNOWN,Single,Kanata,Interior alterations to a 2 storey detached dwelling (remove 2 walls on main level),0,6000,800,1308580,Construction,2013-12-02
8,KINGSMILL ST,K2E 5J2,Ward 9,404422,338,CONTRACTOR UNKNOWN,Single,Nepean,Construct a secondary dwelling unit in a 2 storey detached dwelling (basement),1,40876,1100,1308581,Construction,2013-12-02
91,DUNBARTON CRT,K1K 4L5,Ward 13,4M-683,,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Install a window on the 3rd floor of a 3 storey semi-detached dwelling,0,1375,5,1308582,Construction,2013-12-02
