ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
3200,RIDEAU RD,K1G 3N4,Ward 20,,PT LOT 26 & 27,TOUCHSTONE CONTRACTING,Demolition,Gloucester,Demolish a 1 storey office building,0,15000,-1507,1402378,Demolition,2014-05-01
2284,SUMMERSIDE DR,K4M 1B4,Ward 20,,16,CONTRACTOR UNKNOWN,Single,Osgoode,Install an enclosure for an inground pool (rear yard),0,0,0,1402379,Pool Enclosure,2014-05-01
1670,HERON RD,K1V 0C2,Ward 18,,34,"LE, HONG",Retail,Old Ottawa,Tenant fit up in a 1 storey retail building (Herongate Square- Daisy Nails & Spa- unit F1.5),0,52024,1400,1402380,Construction,2014-05-01
3458,RIVER RUN AVE,K2J 0R8,Ward 3,4M- 1378,368,MERMAID POOLS (MERIVALE),Single,Nepean,Install an enclosure for an above ground pool (rear yard),0,0,0,1402381,Pool Enclosure,2014-05-01
214,MISSION TRAIL CRES,K2T 0H7,Ward 4,4M-1502,30,MINTO COMMUNITIES INC.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Hudson 2012 B,1,253133,1703,1402383,Construction,2014-05-01
1008,MISS OTTAWA ST,K1J 7B1,Ward 11,,16,MERMAID POOLS (OGILVIE ROAD),Single,Gloucester,Install an enclosure for an inground pool,0,0,0,1402384,Pool Enclosure,2014-05-01
384,BRETTONWOOD RIDGE,,Ward 4,4M-1502,44,MINTO COMMUNITIES INC.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Bedford 2013 A,1,284348,1913,1402385,Construction,2014-05-01
279,GLYNN AVE,K1K 1R9,Ward 13,441,78,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Construct a 3 storey triplex,3,481990,4324,1402386,Construction,2014-05-01
239,RIVERTREE ST,K2M 0J6,Ward 23,4M-1468,133,GLENVIEW (KANATA) HOLDINGS LIMITED,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Meadowbrook 2012 A,1,320170,2154,1402387,Construction,2014-05-01
204,MISSION TRAIL CRES,K2T 0H7,Ward 4,4M-1502,25,MINTO COMMUNITIES INC.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Westminster 2007 C,1,403706,2716,1402388,Construction,2014-05-01
