ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
32,BIRCHVIEW RD,K2G 3G6,Ward 8,M115,232,***CONTRACTOR***,Single,Nepean,"Interior alterations in a 2 storey detached dwelling (remove load bearing wall, moving ducts)",0,2000,270,1400857,Construction,2014-03-03
116,SPRINGBEAUTY AVE,K2J 5Y5,Ward 3,4R16875,,BULAT HOMES LTD.,Semi - Detached,Nepean,Construct a 2 storey semi-detached dwelling,2,567953,4514,1400858,Construction,2014-03-03
118,SPRINGBEAUTY AVE,K2J 5Y5,Ward 3,4R16875,,BULAT HOMES LTD.,Semi - Detached,Nepean,Construct a 2 storey semi-detached dwelling,2,567953,4514,1400858,Construction,2014-03-03
516,CICELY TERR,,Ward 3,,18,BULAT HOMES LTD.,Single,Nepean,Construct a 2 storey detached dwelling,1,425333,3535,1400859,Construction,2014-03-03
1101,POLYTEK ST,K1J 0B3,Ward 11,,PT 15,BELROCK DESIGN BUILD INC.,Industrial,Gloucester,Construct a 1 storey industrial building (shell only),0,5116379,122666,1400860,Construction,2014-03-03
425,PAULINE CHARRON PL,K1L 8L4,Ward 12,4M-644,18,***CONTRACTOR***,Single,Vanier,Construct a secondary dwelling unit in a 2 storey detached dwelling (basement),1,10000,452,1400862,Construction,2014-03-03
649,TENNANT WAY,K4M 0C7,Ward 22,4M-1480,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,Construct a 2 storey block of 4 rowhouse dwellings,4,747471,6705,1400863,Construction,2014-03-03
651,TENNANT WAY,K4M 0C7,Ward 22,4M-1480,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,Construct a 2 storey block of 4 rowhouse dwellings,4,747471,6705,1400863,Construction,2014-03-03
653,TENNANT WAY,K4M 0C7,Ward 22,4M-1480,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,Construct a 2 storey block of 4 rowhouse dwellings,4,747471,6705,1400863,Construction,2014-03-03
655,TENNANT WAY,K4M 0C7,Ward 22,4M-1480,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,Construct a 2 storey block of 4 rowhouse dwellings,4,747471,6705,1400863,Construction,2014-03-03
318,CENTERRA CRT,K2J 5T9,Ward 3,,50171,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Spruce A 2010,1,523807,3524,1400865,Construction,2014-03-03
584,PINAWA CIR,,Ward 3,,50250,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Evergreen 2010 C,1,530198,3567,1400866,Construction,2014-03-03
142,PIAZZA CIR,,Ward 22,4M-1469,22,MINTO COMMUNITIES INC.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Griffin 2011 B,1,254917,1715,1400867,Construction,2014-03-03
397,RICHMOND RD,K2A 0E9,Ward 15,4M-179,1,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit-up in a 1 storey retail building (The Ten Spot Beauty Bar),0,94500,1588,1400868,Construction,2014-03-03
128,PIAZZA CIR,,Ward 22,4M1469,15,MINTO COMMUNITIES INC.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Riverbend 2009 B,1,466729,3140,1400869,Construction,2014-03-03
31,ELIZA CRES,K2S 2A3,Ward 6,4M-1107,22,POOL BUILDERS OTTAWA,Single,Goulbourn,Install an enclosure for an inground pool (rear yard),0,0,0,1400870,Pool Enclosure,2014-03-03
148,PIAZZA CIR,,Ward 22,4M-1469,25,MINTO COMMUNITIES INC.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Griffin 2011 B,1,254917,1715,1400871,Construction,2014-03-03
146,PIAZZA CIR,,Ward 22,4M-1469,24,MINTO COMMUNITIES INC.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Easton 2009 A,1,236337,1590,1400872,Construction,2014-03-03
144,PIAZZA CIR,,Ward 22,4M1469,23,MINTO COMMUNITIES INC.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Griffin 2011 A,1,253431,1705,1400873,Construction,2014-03-03
5573,WHITEWOOD AVE,K4M 1E1,Ward 21,4M-495,13,BEAULIEU DESIGN,Single,Rideau,Interior alterations on the 1st floor of a 2 storey detached dwelling (kitchen doorway to be relocated),0,800,30,1400874,Construction,2014-03-03
2946,LESTER RD,K1T 3T3,Ward 10,,pt lots 11 to 14,GOLDIE MOHR LTD.,Demolition,Gloucester,Demolish a 1 storey detached dwelling,-1,25000,-700,1400875,Demolition,2014-03-03
909,BUNCHBERRY WAY,K1T 0L7,Ward 22,4M-1484,,TARTAN HOMES CORPORATION,Semi - Detached,Gloucester,Construct a 2 storey semi-detached dwelling,2,621314,4180,1400876,Construction,2014-03-03
911,BUNCHBERRY WAY,K1T 0L7,Ward 22,4M-1484,,TARTAN HOMES CORPORATION,Semi - Detached,Gloucester,Construct a 2 storey semi-detached dwelling,2,621314,4180,1400876,Construction,2014-03-03
220,KENNEVALE DR,,Ward 3,4M-1289,,AK GLOBAL CONSTRUCTION & DEVELOPMENT INC,Mixed,Nepean,Construct a 3 storey mixed use building (bldg 1),8,2072172,22515,1400877,Construction,2014-03-03
