ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
2625,DRAPER AVE,K2H 7A1,Ward 8,,,OZZ SOLAR DEVELOPMENT INC.,Institutional,Old Ottawa,Install 5 solar panels arrays of total 240 panels with 15 anchors and 405-26 lbs ballast on 1 storey school building,0,37620,0,1408724,Construction,2014-12-01
3810,SIXTH ST,K1T 1K6,Ward 10,,,CONTRACTOR UNKNOWN,Institutional,Gloucester,Install 5 solar panel arrays of total 252 panels with 23 anchors and 292 -26 lbs ballast  on a 1 storey elementary school,0,39501,0,1408725,Construction,2014-12-01
2175,ROBERTSON RD,K2H 1C5,Ward 8,,9,OZZ SOLAR DEVELOPMENT INC.,Office,Nepean,"Install 4 solar arrays of total 888 panels with 30 anchors and 2,042-26 lbs ballast blocks  on a 1 storey office building roof.",0,139194,0,1408726,Construction,2014-12-01
2129,ARCH ST,K1G 2H5,Ward 18,,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Install  6 arrays PV racking system total of 240 panels with 21 anchors and 523-26 lbs ballast blocks on existing roof.,0,37620,0,1408727,Construction,2014-12-01
411,SEYTON DR,K2H 8X1,Ward 8,M-230,,OZZ SOLAR DEVELOPMENT INC.,Institutional,Nepean,"Install 6 arrays of total 480 solar panels with 21 anchors and 1,054 -26 lbs ballast blocks onto 2 storey school building roof.",0,75240,0,1408728,Construction,2014-12-01
5499,CANOTEK RD,K1J 9J5,Ward 11,,14,CONTRACTOR UNKNOWN,Office,Gloucester,Install solar panel racking system  of 600 panels and 776-26 lbs ballast blocks on a 1 storey office building roof.,0,94050,0,1408729,Construction,2014-12-01
3,IBER RD,K2S 1E6,Ward 6,4M-454,,CONTRACTOR UNKNOWN,Office,Goulbourn,Install a PV racking system of 300 panels with 13 anchors and 401-26 lbs ballast blocks on an existing roof.,0,47025,0,1408730,Construction,2014-12-01
460,NELSON ST,K1N 7S8,Ward 12,45224,31,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,"Interior alterations to a 3 storey building and construct a 3 storey addition at the rear to create a 3 storey, 4 unit apartment building",2,402471,6298,1408731,Construction,2014-12-01
623,SMYTH RD,K1G 1N7,Ward 18,,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,"Install 14 arrays PV racking system of total 816 panels with 55 anchors and 1,934-26 lbs ballast blocks on an existing roof.",0,127908,0,1408732,Construction,2014-12-01
445,HIGHLAND AVE,K2A 2J5,Ward 15,283,174,1395139 ONTARIO INC.,Single,Old Ottawa,"Construct a front porch, convert the garage into living space and renovate the bathrooms within a 1 storey detached dwellling",0,51619,623,1408733,Construction,2014-12-01
81,SOUTHPARK DR,K1B 3B5,Ward 2,805,178,***CONTRACTOR***,Single,Gloucester,Interior alterations to alter bathroom in a 2 storey detached dwelling,0,5000,38,1408734,Construction,2014-12-01
6,ELTERWATER AVE,K2H 5J2,Ward 7,420102,197,PRO FLOW SERVICES INC.,Single,Nepean,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1408735,Construction,2014-12-01
58,SEABROOKE DR,K2L 2H7,Ward 23,M-222,PART LOT 1469,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1408736,Construction,2014-12-01
114,ALLANFORD AVE,K1T 3Y6,Ward 10,4M-,9,PAUL DAVIS SYSTEMS,Single,Old Ottawa,Interior alterations to a 2 storey single family dwelling,0,150000,2000,1408737,Construction,2014-12-01
3524,DUNROBIN RD,K0A 3M0,Ward 5,,pt lot 8,GILCREST BUILDING CORP.,Single,West Carleton,Construct a 1 storey detached dwelling,1,252391,1698,1408738,Construction,2014-12-01
1626,PULLEN AVE,K1G 0N7,Ward 18,4M-665,1012,CONTRACTOR UNKNOWN,Single,Old Ottawa,"Exterior alterations to a 1 storey detached dwelling (Front, Remove vestibule roof over door and construct new roof to match slope)",0,7200,10,1408741,Construction,2014-12-01
2605,TENTH LINE RD,K4A 3W7,Ward 19,,4,MINTO COMMUNITIES INC.,Office,Cumberland,Temporary Permit - Relocate a 1 storey site office and use it as a construction site office,0,7200,1560,1408742,Construction,2014-12-01
2108,TRAILWOOD DR,K0A 2T0,Ward 21,4M-7733,3,POOL BUILDERS OTTAWA,Single,Rideau,Install an enclosure for an inground pool (rear yard),0,0,0,1408743,Pool Enclosure,2014-12-01
99,FIFTH AVE,K1S 5K4,Ward 17,34756,18 & 21,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 1st floor of a 2 storey medical office,0,15000,731,1408744,Construction,2014-12-01
42,JACK AARON DR,K2G 6M4,Ward 9,4M-,,PROTECTIVE PLUMBING CANADA,Single,Nepean,Plumbing only - Install a protective device on the building drain,0,0,0,1408745,Construction,2014-12-01
485,PRESTON ST,K1S 4N7,Ward 14,106980,12-14,CLARIDGE HOMES (PRESTON) INC.,Office,Old Ottawa,TEMPORARY PERMIT: Relocate a 1 storey sales building (Claridge Homes Icon Sales Trailer),0,7000,1560,1408746,Construction,2014-12-01
20,WESTCLIFFE RD,K2H 7X4,Ward 8,M-229,pt lot 21,SAUVE PLUMBING,Single,Nepean,PLUMBING ONLY - Install an open port backwater valve on the sanitary sewer in a detached dwelling,0,0,0,1408747,Construction,2014-12-01
188,HURON AVE N,K1Y 0W4,Ward 15,4M-157,1946,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to a 2 storey detached dwelling (All floors),0,50000,1200,1408748,Construction,2014-12-01
50,RIDEAU ST,K1N 9J7,Ward 12,3922,1 to 10,C.A.L. CONSTRUCTION,Retail,Old Ottawa,"Tenant fit-up on the 3rd floor of a 3 storey shopping centre (Rideau Centre, Shepherd's)",0,150000,3013,1408749,Construction,2014-12-01
2712,ST. JOSEPH BLVD,K1C 1G5,Ward 2,4M-,,GENERAL FRAMING AND TRUSS INC,Office,Gloucester,Extend the roof line to cover walkway (6497225 Canada Inc),0,18000,60,1408751,Construction,2014-12-01
1954,EASTLANE RD,K1H 5J4,Ward 18,550,61E,***CONTRACTOR***,Single,Old Ottawa,Construct a secondary dwelling unit in the basement and add a 3-piece washroom to the upper unit of a 1 1/2 storey detached dwelling.,1,7000,1000,1408752,Construction,2014-12-01
3409,GORDON MURDOCK RD,K0A 2W0,Ward 20,4M-,29,BENCKHUYSEN CONSTRUCTION,Single,Osgoode,Construct a 1 storey detached dwelling,1,236486,1591,1408753,Construction,2014-12-01
710,ANNISETTES RIDGE,,Ward 19,4M-1459,73,SOLID ROCK RENOS,Single,Cumberland,Finished the basement of a 2 storey detached dwelling,0,20438,550,1408754,Construction,2014-12-01
100,BAYSHORE DR,K2B 8C1,Ward 7,465465,17,CONTRACTOR UNKNOWN,Retail,Nepean,Tenant fit-up on the 4th floor (Cinnabon Unit 450),0,100000,616,1408756,Construction,2014-12-01
110,PLACE D'ORLEANS DR,K1C 2L9,Ward 1,4M-,37,CONTRACTOR UNKNOWN,Retail,Cumberland,"Interior alterations on the 1st floor of a retail building (Yves Rocher, Unit #1351)",0,110000,700,1408757,Construction,2014-12-01
368,BALINROAN CRES,K2J 3T9,Ward 22,4M-1417,,***CONTRACTOR***,Rowhouse,Nepean,Finish the basement in a 2 storey detached dwelling,0,13378,360,1408758,Construction,2014-12-01
999,ROTARY WAY,,Ward 20,4M1492,20,G. LEMAY CONSTRUCTION (2006) INC.,Single,Gloucester,Construct a 2 storey detached dwelling,1,327157,2201,1408759,Construction,2014-12-01
