ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
529,NEWBURGH PLACE,,Ward 3,4M-1507,61,TARTAN HOMES CORPORATION,Single,Nepean,Construct a 2 storey detached dwelling,1,429867,2892,1408396,Construction,2014-11-13
6710,TOONEY DR,K1C 6R4,Ward 2,4M-595,57,WOODPECKER SERVICES,Single,Gloucester,Install an enclosure for an inground pool (rear yard),0,0,0,1408397,Pool Enclosure,2014-11-13
518,HILLCREST AVE,K2A 2M9,Ward 15,374,410-411,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to finish the basement in a 2 storey detached dwelling,0,40798,1098,1408398,Construction,2014-11-13
309,LASIANDRA LANE,K0A 1L0,Ward 5,4M-1189,9,GV RENOVATIONS,Single,West Carleton,Finish the basement in a 1 storey detached dwelling,0,21553,580,1408399,Construction,2014-11-14
385,DALY AVE,K1N 6H1,Ward 12,,43,FLEMING PROPERTY MANAGEMENT,Apartment,Old Ottawa,Construct a deck on the second floor of a 3 storey apt blg (6 units),0,7000,265,1408400,Construction,2014-11-14
1998,PHELAN RD W,,Ward 21,,16,MARGARD LIMITED,Commercial,Rideau,Construct a 2 storey commercial building - [Nordic Spa],0,0,8441,1408401,Construction,2014-11-14
2006,PHELAN RD W,,Ward 21,,16,MARGARD LIMITED,Commercial,Rideau,Construct a 2 storey commercial building - [Nordic Spa],0,0,8441,1408401,Construction,2014-11-14
112,KENT ST,K1A 0W8,Ward 14,4M-3922,,RON ENGINEERING AND CONSTRUCTION (EASTERN) LIMITED,Office,Old Ottawa,"Interior alterations on the main concourse, 2nd and 3rd floors of a 22 storey office building",0,1689000,35532,1408402,Construction,2014-11-14
2409,CHESHIRE RD,K2C 1G2,Ward 8,4M-358046,194,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to a 2 storey detached dwelling (Convert attached garage into living area),0,7000,215,1408403,Construction,2014-11-14
107,SPARKS ST,K1P 5B5,Ward 14,4M-3992,21,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Interior alterations on the 6th floor of a 6 storey building (Birks Building, Unit 624, Install security upgrades)",0,8000,107,1408404,Construction,2014-11-14
446,HARTLEIGH AVE,K2B 5J4,Ward 7,305,,***CONTRACTOR***,Single,Old Ottawa,Install a woodstove and chimney in a 1 storey detached garage,0,500,1,1408405,Construction,2014-11-14
418,RAHUL CRES,K2C 4H7,Ward 16,4M-1258,32,MCI POOLS (LOBELIA),Single,Old Ottawa,Install an enclosure for an inground pool (rear yard),0,0,0,1408406,Pool Enclosure,2014-11-14
5656,TRUDEAU AVE,K0A 3H0,Ward 19,4M-1393,20,MCI POOLS (LOBELIA),Single,Cumberland,Install an enclosure for an inground pool (rear yard),0,0,0,1408407,Pool Enclosure,2014-11-14
1993,ROBERTSON RD,K2H 5B7,Ward 8,M65,,GIBBON CONSTRUCTION & G.C,Retail,Nepean,Tenant fit-up on the 1st floor of a 2 storey retail building,0,12750,404,1408408,Construction,2014-11-14
307,RICHMOND RD,K1Z 6X3,Ward 15,,,ATHLONE INVESTMENTS LTD,Retail,Old Ottawa,PLUMBING ONLY - move location of toilet,0,0,0,1408409,Construction,2014-11-14
311,RICHMOND RD,K1Z 6X3,Ward 15,,,ATHLONE INVESTMENTS LTD,Retail,Old Ottawa,PLUMBING ONLY - move location of toilet,0,0,0,1408409,Construction,2014-11-14
5220,RUSSELL RD,K0A 1K0,Ward 19,4M-,,CONTRACTOR UNKNOWN,Single,Gloucester,Install a woodstove on the 1st  floor of a 1 storey detached dwelling,0,4746,22,1408410,Construction,2014-11-14
1522,RUMFORD DR,K4A 4B8,Ward 1,4M-1035,111,SIGNATURE BUILDERS INC,Single,Cumberland,Interior alterations on the 1st floor of a 2 storey detached dwelling,0,12000,0,1408411,Construction,2014-11-14
231,KEYWORTH AVE,K1Y 0G2,Ward 15,4M-388,37,CONTRACTOR UNKNOWN,Single,Old Ottawa,"Remove a detached garage, construct an attached garage with a 2nd storey addition (rear yard) and construct a deck (front yard)",0,281191,3040,1408412,Construction,2014-11-14
209,DAVY ST,K2M 0H5,Ward 23,4M-1495,118,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling,1,391629,3090,1408413,Construction,2014-11-14
1392,MAJOR RD,K1E 1H4,Ward 1,4M-,,MULTI-DRAIN INC,Single,Cumberland,PLUMBING ONLY - Install an open port backwater valve on the sanitary sewar in a detached dwelling,0,0,0,1408414,Construction,2014-11-14
1200,WALKLEY RD,K1V 6P8,Ward 16,M-24,4 96,CONTRACTOR UNKNOWN,Other,Old Ottawa,Exterior/interior alterations and plumbing alterations to a 2 storey single family dwelling,0,1000,0,1408415,Construction,2014-11-14
46,HILLIARD AVE,K2E 6C1,Ward 9,397932,,MULTI-DRAIN INC,Single,Nepean,PLUMBING ONLY - Install an open port backwater valve on the sanitary sewar in a detached dwelling,0,0,0,1408416,Construction,2014-11-14
624,WILLOWMERE WAY,K1T 0K2,Ward 22,4M-1426,17,CONTRACTOR UNKNOWN,Single,Gloucester,Finish the basement in a 2 storey detached dwelling,0,33355,898,1408417,Construction,2014-11-14
21 A,HAMPTON AVE,K1Y 0N1,Ward 15,4M-47,2789,HASLETT CONSTRUCTION INC.,Semi - Detached,Old Ottawa,Construct a 2 storey semi detached dwelling,1,595180,4004,1408418,Construction,2014-11-14
21 B,HAMPTON AVE,K1Y 0N1,Ward 15,4M-47,2789,HASLETT CONSTRUCTION INC.,Semi - Detached,Old Ottawa,Construct a 2 storey semi detached dwelling,1,595180,4004,1408418,Construction,2014-11-14
275,SLATER ST,K1P 5H9,Ward 14,3922,27 to 31,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit-up on the 11th floor of a 21 storey office building,0,283636,6800,1408419,Construction,2014-11-14
72,WATERSHIELD RIDGE,,Ward 3,,,BULAT HOMES LTD.,Semi - Detached,Nepean,Construct a 2 storey semi-detached dwelling,2,551752,3754,1408421,Construction,2014-11-14
74,WATERSHIELD RIDGE,,Ward 3,,,BULAT HOMES LTD.,Semi - Detached,Nepean,Construct a 2 storey semi-detached dwelling,2,551752,3754,1408421,Construction,2014-11-14
140,LOUIS PASTEUR PRIV,K1N 6N5,Ward 12,4M-,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,"Interior/exterior alterations to a 4 storey institutional building (Marion Hall - upgrade of laboratories - Levels 1,2 &3)",0,7500000,24865,1408423,Construction,2014-11-17
235,QUEEN ST,K1A 0H5,Ward 14,3922,1 to 5,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,Tenant fit up on the 7th floor of a 15 storey mixed use building (Industry Canada),0,640000,12809,1408424,Construction,2014-11-17
260,MURRAY ST,K1N 5N2,Ward 12,435986,5,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,20000,-2000,1408425,Demolition,2014-11-17
277,KING EDWARD AVE,K1N 7M2,Ward 12,43586,7,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolition of a 2 storey semi-detached dwelling,-2,20000,-1500,1408426,Demolition,2014-11-17
279,KING EDWARD AVE,K1N 7M2,Ward 12,43586,7,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolition of a 2 storey semi-detached dwelling,-2,20000,-1500,1408426,Demolition,2014-11-17
269,KING EDWARD AVE,K1N 7M2,Ward 12,43586,7,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,"Demolish a block of 4, 2 storey rowhouse dwellings",-4,15000,-4000,1408427,Demolition,2014-11-17
271,KING EDWARD AVE,K1N 7M2,Ward 12,43586,7,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,"Demolish a block of 4, 2 storey rowhouse dwellings",-4,15000,-4000,1408427,Demolition,2014-11-17
273,KING EDWARD AVE,K1N 7M2,Ward 12,43586,7,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,"Demolish a block of 4, 2 storey rowhouse dwellings",-4,15000,-4000,1408427,Demolition,2014-11-17
275,KING EDWARD AVE,K1N 7M2,Ward 12,43586,7,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,"Demolish a block of 4, 2 storey rowhouse dwellings",-4,15000,-4000,1408427,Demolition,2014-11-17
1836,MAPLE GROVE RD,K2S 0M7,Ward 6,4M-1348,118,***CONTRACTOR***,Single,Goulbourn,Finish the basement in 2 storey detached dwelling,0,11148,300,1408428,Construction,2014-11-17
1621,DORION AVE,K1G 0J7,Ward 18,569,265,8515476 CANADA INC,Single,Old Ottawa,Interior alterations to install a beam,0,2000,200,1408430,Construction,2014-11-17
47,OVERLAKE DR,K2E 5V4,Ward 9,530290,272,LATULIPPE HOME RENOVATIONS,Single,Nepean,Exterior alterations to repair the garage foundation on a 1 storey detached dwelling,0,4000,20,1408431,Construction,2014-11-17
1509,APELDOORN AVE,K2C 1V2,Ward 16,455,61,***CONTRACTOR***,Detached Garage/Shed,Old Ottawa,Construct a shed (rear yard),0,5000,228,1408432,Construction,2014-11-17
352,RICHMOND RD,K2A 0E8,Ward 15,204,1,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,Tenant fit-up on the 1st floor of a 2 storey mixed used building (unit 352),0,25000,1200,1408433,Construction,2014-11-17
11,BURNHAM RD,K1S 0J7,Ward 17,M-45,252,CAESAR'S PLUMBING & HEATING,Single,Old Ottawa,Plumbing Only: replace plumbing stack from cast iron to plastic,0,1000,0,1408434,Construction,2014-11-17
8279,NOVA LUX WAY,K0A 2P0,Ward 20,4M1141,4,CASTELO CUSTOM HOMES,Single,Osgoode,Interior alterations to a 2 storey detached dwelling,0,10000,15,1408435,Construction,2014-11-17
20,DOGWOOD DR,,Ward 21,853,20,"MURPHY, DAVID",Single,Goulbourn,Interior/exterior alterations to a 1 storey detached dwelling,0,10000,0,1408436,Construction,2014-11-17
1469,GRACE ST,K1H 7C1,Ward 18,615,27,HORIZON HOME RENOVATIONS,Single,Old Ottawa,Exterior alterations to a 1 storey detached dwelling (new basement window),0,2600,14,1408437,Construction,2014-11-17
149,BERRIGAN DR,K2J 5C6,Ward 3,4M-,,ENSTONE CONSTRUCTION INC,Institutional,Nepean,Install 3 new portable classrooms in the rear yard of a secondary school (Longfields-Davidson Heights Secondary School) for a total of 27 on site.,0,9000,2304,1408438,Construction,2014-11-17
46,GLENRILL PL,K2M 2T5,Ward 23,4M-1007,56,CANADIAN DISASTER RESTORATION GROUP,Single,Kanata,Exterior repair to a 2 storey detached dwelling (Roof),0,8000,0,1408439,Construction,2014-11-17
41,ROCKCLIFFE WAY,K1M 1B4,Ward 13,M51,90,***CONTRACTOR***,Single,Old Ottawa,Construct a 2 storey detached dwelling,1,334440,2700,1408440,Construction,2014-11-17
