ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
152,LANE ST,K0A 3M0,Ward 5,412,37,CONTRACTOR UNKNOWN,Single,West Carleton,Construct a 2nd storey addition on a 1 storey detached dwelling,0,49000,562,1208341,Construction,2012-12-03
801,MANCUSO CRT,K2T 0E8,Ward 4,4M-1380,217,RICHCRAFT HOMES LIMITED,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: 44-02 2011 A,1,195990,2657,1208342,Construction,2012-12-03
3907,NAVAN RD,K4B 1H9,Ward 19,,7,TOP HAT HOME COMFORT SERVICES,Single,Cumberland,Install a wood burning fireplace in a detached dwelling,0,1582,0,1208343,Construction,2012-12-03
1751,RUSSELL RD,K1G 0N1,Ward 18,,,CONTRACTOR UNKNOWN,Industrial,Old Ottawa,Construct a 1 storey accessory building (Garbage and recycling shed),0,50000,449,1208345,Construction,2012-12-03
1739,WALKLEY RD,,Ward 18,31,"PT 34, 35",OTTAWA GENERAL CONTRACTORS,Office,Old Ottawa,"Tenant fit up in a 1 storey retail building (Herongate Dental Clinic, Building F)",0,120000,4359,1208346,Construction,2012-12-03
532,MUTUAL ST,K1K 1C6,Ward 13,300,117-118,ACCESSIBILITY CONSTRUCTION TECH,Single,Old Ottawa,Construct a deck and create a door at the rear of a 1 storey detached dwelling,0,4000,77,1208347,Construction,2012-12-03
3350,FALLOWFIELD RD,K2J 5L1,Ward 3,4M-801,,CONTRACTOR UNKNOWN,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Nestle Toll House Cafe),0,70000,1453,1208348,Construction,2012-12-03
832,KILBIRNIE DR,K2J 5T9,Ward 3,4M-1423,50181,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Evergreen 2010 B,1,260600,3580,1208349,Construction,2012-12-03
303,WALLACEBURG CRT,K2T 0C3,Ward 4,4M-1413,23,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Platina 2007 A,1,254160,3488,1208350,Construction,2012-12-03
315,CENTERRA CRT,K2J 5T9,Ward 3,4M-1423,50157,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Aspen 2010 B,1,217727,2968,1208351,Construction,2012-12-03
