ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
7630,HARNETT RD,K0A 2T0,Ward 21,,PT LOT 13,OTTAWA GENERAL CONTRACTORS,Single,Rideau,Construct an addition at the side of a 1 storey detached dwelling,0,109375,1677,1207540,Construction,2012-11-01
211,ACACIA AVE,K1M 0L8,Ward 13,M-64,N,CONTRACTOR UNKNOWN,Single,Rockcliffe Park,Construct an addition at the rear of a 2 storey detached dwelling,0,112800,560,1207541,Construction,2012-11-01
3565,LARMOURS RD,,Ward 19,,11,***CONTRACTOR***,Single,Cumberland,Install a wood stove in a detached dwelling,0,1500,0,1207542,Construction,2012-11-01
51,LUMINESCENCE WAY,K4A 0V9,Ward 19,,9,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 8, 3 storey rowhouses with attached garages ( Models:Thornbury A, Sweet River A, Mulberry)",8,787880,10684,1207543,Construction,2012-11-01
53,LUMINESCENCE WAY,K4A 0V9,Ward 19,,9,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 8, 3 storey rowhouses with attached garages ( Models:Thornbury A, Sweet River A, Mulberry)",8,787880,10684,1207543,Construction,2012-11-01
55,LUMINESCENCE WAY,K4A 0V9,Ward 19,,9,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 8, 3 storey rowhouses with attached garages ( Models:Thornbury A, Sweet River A, Mulberry)",8,787880,10684,1207543,Construction,2012-11-01
57,LUMINESCENCE WAY,K4A 0V9,Ward 19,,9,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 8, 3 storey rowhouses with attached garages ( Models:Thornbury A, Sweet River A, Mulberry)",8,787880,10684,1207543,Construction,2012-11-01
175,SOLEIL AVE,K4A 0V9,Ward 19,,9,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 8, 3 storey rowhouses with attached garages ( Models:Thornbury A, Sweet River A, Mulberry)",8,787880,10684,1207543,Construction,2012-11-01
177,SOLEIL AVE,K4A 0V9,Ward 19,,9,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 8, 3 storey rowhouses with attached garages ( Models:Thornbury A, Sweet River A, Mulberry)",8,787880,10684,1207543,Construction,2012-11-01
179,SOLEIL AVE,K4A 0V9,Ward 19,,9,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 8, 3 storey rowhouses with attached garages ( Models:Thornbury A, Sweet River A, Mulberry)",8,787880,10684,1207543,Construction,2012-11-01
181,SOLEIL AVE,K4A 0V9,Ward 19,,9,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 8, 3 storey rowhouses with attached garages ( Models:Thornbury A, Sweet River A, Mulberry)",8,787880,10684,1207543,Construction,2012-11-01
862 A,BANK ST,K1S 3W3,Ward 17,47389,2/3,SPACEFORM CONSTRUCTORS INCORPORATED,Retail,Old Ottawa,Tenant fit up in a 2 storey mixed use building (Kardish Health Food Centre),0,35800,1600,1207544,Construction,2012-11-01
862 B,BANK ST,K1S 3W3,Ward 17,47389,2/3,SPACEFORM CONSTRUCTORS INCORPORATED,Retail,Old Ottawa,Tenant fit up in a 2 storey mixed use building (Kardish Health Food Centre),0,35800,1600,1207544,Construction,2012-11-01
