ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
109,BRITANNIA RD,K2B 5X1,Ward 7,71,10-11,***CONTRACTOR***,Single,Old Ottawa,Revision to permit# 1006575 - Finish basement in a 3 storey detached dwelling,0,10005,667,1006575,Construction,2012-09-21
801,HOG'S BACK RD,,Ward 16,4M-,,CONTRACTOR UNKNOWN,Other,Old Ottawa,"TEMPORARY PERMIT: Erect a temporary tent (1,125 m2) for special event (Ottawa Folk Festival)",0,8800,12109,1206097,Construction,2012-09-04
1063,SILVER ST,K1Z 6J1,Ward 16,294,30,***CONTRACTOR***,Stacked Rowhouse,Old Ottawa,Construct stairs on the back entrance of a 2 storey rowhouse,0,3500,20,1206098,Construction,2012-09-04
88,POWELL AVE,K1S 2A1,Ward 17,M-20,50,"BLAZEJEWSKI, PETER",Single,Old Ottawa,Exterior alterations to repair the deck and sunroom at the side of a 2 storey detached dwelling,0,10000,84,1206099,Construction,2012-09-04
18,LOTTA AVE,K2G 2B1,Ward 8,375,1341/44,CONTRACTOR UNKNOWN,Single,Nepean,Construct a 1 storey detached dwelling with attached garage,1,170000,1608,1206100,Construction,2012-09-04
611,GAZEBO ST,,Ward 22,,,CLARIDGE HOMES (RIVER ROAD) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Queensby III 2010 A,Bradwell III 2010 A,Queensby III 2010 A,Wembley III 2010 A",4,427545,5575,1206101,Construction,2012-09-04
613,GAZEBO ST,,Ward 22,,,CLARIDGE HOMES (RIVER ROAD) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Queensby III 2010 A,Bradwell III 2010 A,Queensby III 2010 A,Wembley III 2010 A",4,427545,5575,1206101,Construction,2012-09-04
615,GAZEBO ST,,Ward 22,,,CLARIDGE HOMES (RIVER ROAD) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Queensby III 2010 A,Bradwell III 2010 A,Queensby III 2010 A,Wembley III 2010 A",4,427545,5575,1206101,Construction,2012-09-04
617,GAZEBO ST,,Ward 22,,,CLARIDGE HOMES (RIVER ROAD) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Queensby III 2010 A,Bradwell III 2010 A,Queensby III 2010 A,Wembley III 2010 A",4,427545,5575,1206101,Construction,2012-09-04
258,OLMSTEAD ST,K1L 7J8,Ward 12,244,7,***CONTRACTOR***,Single,Vanier,Finish a basement in a 1 storey detached dwelling,0,8000,501,1206104,Construction,2012-09-04
425,BANK ST,K2P 1Y7,Ward 14,15558,51,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Interior alterations to the ground floor and basement of a 2 storey mixed use building.  Change of use and Change of Major Occupancy from Group E retail to Group A2 restaurant.,0,180000,2935,1206106,Construction,2012-09-04
114,KINCARDINE DR,K2V 1B1,Ward 23,4M-956,,MULTI-DRAIN INC,Single,Kanata,PLUMBING ONLY - Install a mainline backwater valve on the sanitary sewer in a detached dwelling,0,0,0,1206107,Construction,2012-09-04
215,PENFIELD DR,K2K 1M8,Ward 4,847,824,MULTI-DRAIN INC,Single,Kanata,PLUMBING ONLY - Install a mainline backwater valve on the sanitary sewer in a detached dwelling,0,0,0,1206108,Construction,2012-09-04
62,OAKRIDGE BLVD,K2G 2T8,Ward 8,,32,CONTRACTOR UNKNOWN,Single,Nepean,Construct a 2 storey detached dwelling with attached garage,1,248000,3229,1206109,Construction,2012-09-04
