ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
2865,RIVERSIDE DR,K1V 8N5,Ward 16,66,45 46,POMERLEAU INC.,Mixed,Old Ottawa,Revision to Permit # 1107097 - Interior alterations to expand a pharmacy into the basement of a 5 storey mixed use building (Pharmacy Distribution Centre),0,150000,1830,1107097,Construction,2012-05-22
716,BOOTHFIELD ST,K1V 2M8,Ward 22,,42,URBANDALE CONSTRUCTION,Single,Gloucester,Construct a 2 storey detached dwelling with attached garage - Model: Carmel 08,1,136420,1763,1202274,Construction,2012-05-01
1873,MONTMERE AVE,K4A 0L7,Ward 19,,NS345,RICHCRAFT HOMES LIMITED,Single,Cumberland,Construct a 2 storey detached dwelling; Model: 43-08 Foxden 2010 A 3 Bedroom,1,183051,1469,1202275,Construction,2012-05-01
1864,MONTMERE AVE,K4A 0L7,Ward 19,,NS359,RICHCRAFT HOMES LIMITED,Single,Cumberland,Construct a 2 storey detached dwelling with attached 2 car garage  Model: 35-06 2010 A,1,161550,2165,1202276,Construction,2012-05-01
851,CONTOUR ST,K1W 0G6,Ward 2,,9,RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 storey detached dwelling with attached 2 car garage  Model: Custom 35-17 Cranbrook 2009 A,1,131730,1739,1202277,Construction,2012-05-01
225,KINLOCH CRT,K2J 5S9,Ward 3,4M-1423,131,MERMAID POOLS,Single,Nepean,Enclosure of an inground pool at the rear yard of a detached dwelling,0,0,0,1202279,Pool Enclosure,2012-05-01
682,BIRCHLAND CRES,K2S 0S9,Ward 6,4m-1447,4,CARDEL HOMES LIMITED PARTNERSHIP OTTAWA DIVISION,Single,Goulbourn,Construct a 2 Storey Single dwelling with attached garage  Model: Sedona II 2010 D1,1,208450,2835,1202280,Construction,2012-05-01
312,RICHMOND RD,K1Z 6X6,Ward 15,277,94,CASSONE CONSTRUCTION,Retail,Old Ottawa,Exterior alterations to repair the roof of a 2 storey mixed use building,0,5000,980,1202281,Construction,2012-05-01
7815,FLEWELLYN RD,K0A 1B0,Ward 21,,10,***CONTRACTOR***,Single,Goulbourn,Construct a roof over an existing porch at the front of a 2 storey detached dwelling,0,8000,237,1202282,Construction,2012-05-01
73,ELM ST,K1R 6N2,Ward 14,13,29,GILLESPIE HANDYMAN SERVICES,Single,Old Ottawa,Remove and replace stairs in the rear yard of a 2 storey duplex,0,2000,40,1202283,Construction,2012-05-01
67,GLEN AVE,K1S 2Z8,Ward 17,115,10,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations on the 1st floor of a 3 storey detached dwelling,0,10000,194,1202284,Construction,2012-05-01
312,GRAMMOND CIRC,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Semi - Detached,Cumberland,"Construct a 2 Storey Semi - Detached with attached garages  Models: S-1 2007 opt 1,S-1 2007 opt 2",2,229300,3000,1202286,Construction,2012-05-01
314,GRAMMOND CIRC,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Semi - Detached,Cumberland,"Construct a 2 Storey Semi - Detached with attached garages  Models: S-1 2007 opt 1,S-1 2007 opt 2",2,229300,3000,1202286,Construction,2012-05-01
632,WILLOWMERE WAY,K1T 0K2,Ward 22,,19,TAMARACK DEVELOPMENTS CORPORATION,Single,Gloucester,Construct a 2 storey detached dwelling with attached 2 car garage  Model: 3611 2007 A,1,194730,2639,1202288,Construction,2012-05-01
2136,FILLMORE CRES,K1J 6A4,Ward 11,824,566,***CONTRACTOR***,Single,Gloucester,Interior/exterior alterations to a 1 storey detached dwelling to install a patio door,0,3500,21,1202289,Construction,2012-05-01
5,INVERKIP AVE,K1T 4B7,Ward 10,4M-997,,KARMANY CONSTRUCTION,Semi - Detached,Old Ottawa,Construct a deck in the rear yard of a 2 storey semi-detached dwelling,0,3500,150,1202290,Construction,2012-05-01
1732,WOODWARD DR,K2C 0P8,Ward 8,409807,27-28,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 1st floor of a 2 storey office building,0,69700,5920,1202291,Construction,2012-05-01
274,CHINIAN ST,,Ward 19,,30,TAMARACK DEVELOPMENTS CORPORATION,Single,Cumberland,Construct a 2 storey detached dwelling with attached 2 car garage  Model: 3608 2011 A,1,164140,2202,1202292,Construction,2012-05-01
