ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
300,EARL GREY DR,K2T 1B8,Ward 4,4M-941,,CONTRACTOR UNKNOWN,Retail,Kanata,Interior alterations to a 1 storey retail building (Nice One Nails),0,25000,1097,1200524,Construction,2012-02-01
4744,BANK ST,K1T 3W7,Ward 22,4M-,18-19,CONTRACTOR UNKNOWN,Retail,Gloucester,Interior alterations to a 1 storey retail building (Unit 2),0,107800,1496,1200525,Construction,2012-02-01
770,BROADVIEW AVE,K2A 3Z3,Ward 15,,29,SPACEFORM CONSTRUCTORS INCORPORATED,Office,Old Ottawa,Interior alterations on the 2nd floor of a 3 storey office building,0,62110,897,1200526,Construction,2012-02-01
1040,LAPORTE ST,K1J 7B4,Ward 11,,17,B & L CONSTRUCTIONS AND REPAIRS - 1055607 ONTARIO INC,Demolition,Gloucester,Demolish a 1 storey detached dwelling,-1,5500,-1100,1200528,Demolition,2012-02-01
5830,HAZELDEAN RD,K2S 1B9,Ward 6,,PT 26,CAPITAL EXCAVATING (1702715 ONTARIO INC.),Retail,Goulbourn,PLUMBING PERMIT ONLY-Changeover from Septic System to City Sewer in a 1 storey retail building,0,0,0,1200529,Construction,2012-02-01
73,LEIKIN DR,,Ward 22,,16,MINTO COMMERCIAL PROPERTIES INC,Institutional,Nepean,Interior alterations to the ground floor of a 2 storey institutional building (change storage garage into repair garage and replace 2 unrated doors with 2 fire-rated doors) (RCMP Headquarters),0,6400,990,1200530,Construction,2012-02-01
16,FITZGERALD RD,K2H 8R6,Ward 8,,10,CONTRACTOR UNKNOWN,Office,Nepean,Interior alterations on the 2nd floor of a 3 storey office building,0,0,3509,1200531,Construction,2012-02-01
872,BORLAND DR,K1E 1X5,Ward 1,M18,8,TOM HOGAN MAINTENANCE SPECIALISTS,Semi - Detached,Cumberland,Interior alterations to a 2 storey semi-detached dwelling,0,2600,32,1200532,Construction,2012-02-01
305,IRENE CRES,K1Z 7J2,Ward 15,304766,4,SERVICE MASTER OF OTTAWA,Apartment,Old Ottawa,"Interior alterations to a 3 storey, 6 unit apartment building (Apartments 1,3, & 5)",0,19500,1400,1200533,Construction,2012-02-01
382,SPARTAN AVE,K1K 1J7,Ward 13,640,90,OTTAWA GENERAL CONTRACTORS,Single,Old Ottawa,Convert attic into living space in a 2 storey detached dwelling,0,30000,336,1200534,Construction,2012-02-01
1655,MAPLE GROVE RD,K2V 1B7,Ward 6,,1,CONTRACTOR UNKNOWN,Office,Kanata,Interior alterations to upgrade the fire alarm system in a 2 storey city garage and office building,0,24000,2230,1200535,Construction,2012-02-01
2698,KELLY AVE,K2B 7V4,Ward 7,369009,,DUMONT FOUNDATIONS,Single,Old Ottawa,Exterior alterations to underpin the foundation in a 2 storey detached dwelling,0,15000,237,1200536,Construction,2012-02-01
1951,CYRVILLE RD,K1B 1A9,Ward 11,,22,CONTRACTOR UNKNOWN,Office,Gloucester,Interior alterations to upgrade ventilation in a 1 storey office building,0,35000,0,1200537,Construction,2012-02-01
34,SUTTON PL,K2E 5G3,Ward 9,404422,253,***CONTRACTOR***,Single,Nepean,Finish the basement of 1 storey detached dwelling,0,16000,861,1200538,Construction,2012-02-01
194,KEYWORTH AVE,K1Y 0E9,Ward 15,219,15,OTTAWA SOLAR POWER INC.,Single,Old Ottawa,Install solar panels on the roof of a detached dwelling,0,3000,110,1200539,Construction,2012-02-01
1903,BROADMOOR AVE,K1H 5B3,Ward 18,620,21 & 22,OTTAWA SOLAR POWER INC.,Single,Old Ottawa,Install solar panels on the roof of a detached dwelling,0,3000,160,1200540,Construction,2012-02-01
71,BRONSON AVE,K1R 6G6,Ward 14,3922,23,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,"Interior and exterior alterations to modify walls, stairwell and upgrade washrooms in a 3 storey office building - [Roper House]",0,50000,700,1200541,Construction,2012-02-01
214,DUTCHMANS WAY,,Ward 3,,9,MATTAMY DEVELOPMENT CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Forestlane 2009 A,1,147100,2030,1200542,Construction,2012-02-02
100,MALVERN DR,K2J 2G5,Ward 3,M194,,CONTRACTOR UNKNOWN,Institutional,Nepean,"Interior alterations in a 2 storey institutional building to install a fire-rated door, card reader and barrier free door operator. (Ruth Dickinson Library)",0,6500,19,1200544,Construction,2012-02-02
8128,ADAM BAKER WAY,K0A 2P0,Ward 20,4M-950,35,***CONTRACTOR***,Single,Osgoode,Finish the basement in a 2 storey detached dwelling,0,6987,537,1200545,Construction,2012-02-02
12,ANDERSON ST,K1R 6T5,Ward 14,55,31,***CONTRACTOR***,Duplex,Old Ottawa,Construct a 3 storey duplex,2,255885,2940,1200547,Construction,2012-02-02
7,TRIPP CRES,K2J 1C5,Ward 3,M-118,366,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations to finish a basement in a 2 storey detached dwelling,0,12000,517,1200548,Construction,2012-02-02
6,WILLARD ST,K1S 1T5,Ward 17,118266,54,***CONTRACTOR***,Apartment,Old Ottawa,Construct an accessory apartment in the basement of a 2 storey detached dwelling,1,30000,1076,1200549,Construction,2012-02-02
126,DOANE ST,K2B 6G9,Ward 7,458,19,***CONTRACTOR***,Single,Old Ottawa,To convert an existing 2 storey illegal rooming house into a 2 storey single family,0,5000,1200,1200550,Construction,2012-02-02
